,AIRMASS,BERV,BERV_DRS,BIS,BJD,BJD_DRS,CONTRAST_DRS,CRX,DPR_TYPE,DRIFT,DRIFT_LAMP,EXPTIME,E_MLCRX,FWHM_DRS,Halpha,MASK,MLCRX,NZP_drs,NZP_mlc,NaD1,NaD2,OBHAB,PROGID,PROGPI,RVGUESS,RV_drs,RV_drs_nzp,RV_mlc,RV_mlc_j,RV_mlc_nzp,SA,SNR_DRS,THAR_FP,TIMEID,TMMEAN,dLW,dNZP_drs,dNZP_mlc,e_CRX,e_DRIFT,e_Halpha,e_NaD1,e_NaD2,e_RV_drs,e_RV_drs_nzp,e_RV_mlc,e_RV_mlc_j,e_RV_mlc_nzp,e_dLW,f_RV,target
20,-9999999.0,0.612568458882,0.607068532067,-0.00645173364783,2453624.91499,2453624.9142400003,40.9513061276,-1.1647294544256743,"STAR,WAVE,G2.5V",0.19899999999999998,-9999999.0,300.0012,3.91871380075,7.07919569387,0.4368191227066825,G2,-1.1686837596200002,-0.899,0.49,0.3362439473025719,0.4527813759540769,HARPS_ech_obs_all,60.A-9036(A),UNKNOWN,12.5,12556.7323271,12556.5,-9.67269689736,-9.67269689736,-0.17600000000000002,1.131,261.6,HARPS_ech_obs_thosimult,2005-09-11T09:51:11.976,0.56,4.35685442683,-9999999.0,0.8390000000000001,3.936139878817837,-9999999.0,0.0002787838410882577,0.00039219562428379113,0.0005073113162404659,0.298746195926,1.047,0.377455316742,0.377455316742,0.92,0.77581895507,0.0,GJ136
21,-9999999.0,-7.784043350069999,-7.78989113293,-0.0148247175906,2453689.65721,2453689.6564599997,41.128105947600005,15.852807582933984,"STAR,WAVE,G2.5V",-1.217,-9999999.0,300.0007,2.9850919077499998,7.0471645581199995,0.4284394526762945,G2,15.893931909,0.08,0.353,0.33431447130593445,0.4631732750637121,HARPS_ech_obs_all,60.A-9036(A),UNKNOWN,12.5,12549.740122700001,12548.421,-16.2724545329,-16.2724545329,-6.6370000000000005,1.239,409.8,HARPS_ech_obs_thosimult,2005-11-15T03:41:34.592,0.49,-1.45449611609,-9999999.0,0.8740000000000001,3.006565796435431,-9999999.0,0.0001792183776713567,0.000250344195712044,0.00032568692057439124,0.185875963283,1.02,0.286529011628,0.286529011628,0.92,1.45545051598,128.0,GJ136
22,-9999999.0,-7.788929093769999,-7.794779598110001,-0.013378285271999999,2453689.66114,2453689.6603900003,41.1371221651,15.257489796679144,"STAR,WAVE,G2.5V",-0.627,-9999999.0,300.0015,3.0989125530900004,7.04602443587,0.4283417518679746,G2,15.289130127,0.073,0.35200000000000004,0.33404867473897737,0.4628958295916976,HARPS_ech_obs_all,60.A-9036(A),UNKNOWN,12.5,12550.254656899999,12548.943000000001,-15.891191991800001,-15.891191991800001,-6.255,1.239,425.4,HARPS_ech_obs_thosimult,2005-11-15T03:47:07.475,0.51,-2.75879032068,-9999999.0,0.8740000000000001,3.109272911127788,-9999999.0,0.00017327817107253986,0.00024120936981571347,0.00031394692404647996,0.178106045405,1.0190000000000001,0.279455531205,0.279455531205,0.917,1.44525264227,128.0,GJ136
23,-9999999.0,-7.79366560115,-7.79949791403,-0.0136658673377,2453689.66492,2453689.6641700002,41.1420700333,12.440327059519086,"STAR,WAVE,G2.5V",-0.915,-9999999.0,300.0004,2.99189406636,7.04564407912,0.428592136730286,G2,12.467987109800001,0.065,0.35100000000000003,0.3345626062924976,0.4632993961603954,HARPS_ech_obs_all,60.A-9036(A),UNKNOWN,12.5,12549.2565431,12547.953000000001,-17.0731742085,-17.0731742085,-7.436,1.239,419.8,HARPS_ech_obs_thosimult,2005-11-15T03:52:37.899,0.5,-3.4937661816300003,-9999999.0,0.8740000000000001,3.018684358890661,-9999999.0,0.00017508135785841347,0.0002445191256193733,0.0003181103432832209,0.181215130275,1.0190000000000001,0.281204181748,0.281204181748,0.9179999999999999,1.41327934689,128.0,GJ136
24,-9999999.0,-7.993286713200001,-7.999119972889999,-0.0148225142233,2453690.76046,2453690.75972,41.1002590087,2.715294614404022,"STAR,WAVE,G2.5V",0.033,-9999999.0,120.0023,5.59540652557,7.052094692789999,0.4300544069053162,G2,2.69092745977,-0.16699999999999998,-0.899,0.3330704781710749,0.4540093615537472,HARPS_ech_obs_all,076.C-0878(A),UNKNOWN,12.5,12555.5815235,12554.508,-10.2360175189,-10.2360175189,0.65,1.2409999999999999,186.6,HARPS_ech_obs_thosimult,2005-11-16T06:11:43.848,0.51,-18.351672401,-9999999.0,0.718,5.622452669056664,-9999999.0,0.0003924973538264793,0.0005503707220813689,0.0007167703313265437,0.41253381420999996,1.085,0.53276491781,0.53276491781,0.894,1.01001456226,0.0,GJ136
25,-9999999.0,-7.995258914480001,-8.001086183239998,-0.0160374731492,2453690.76224,2453690.76149,41.094125034499996,7.481592713841968,"STAR,WAVE,G2.5V",0.18,-9999999.0,120.0018,4.74469512578,7.053453245569999,0.43014377862921466,G2,7.4672095792499995,-0.171,-0.9,0.3341804683172234,0.4509167604119619,HARPS_ech_obs_all,076.C-0878(A),UNKNOWN,12.5,12557.0757687,12556.006000000001,-8.50739670866,-8.50739670866,2.38,1.2409999999999999,203.7,HARPS_ech_obs_thosimult,2005-11-16T06:14:14.483,0.53,-18.509752220699998,-9999999.0,0.718,4.767613332524041,-9999999.0,0.00035680944949755526,0.0005045358170369618,0.0006536210034899867,0.383214651234,1.074,0.496568442733,0.496568442733,0.873,1.13200813998,0.0,GJ136
26,-9999999.0,-7.997100187010001,-8.00291370611,-0.0146681795286,2453690.7639,2453690.76315,41.094379137800004,6.75466517857447,"STAR,WAVE,G2.5V",-0.228,-9999999.0,120.0002,4.73157309102,7.0514982238399995,0.4301075021416167,G2,6.731742021590001,-0.174,-0.9,0.33481178141376355,0.4534875464520038,HARPS_ech_obs_all,076.C-0878(A),UNKNOWN,12.5,12555.8400189,12554.773000000001,-9.745189738130001,-9.745189738130001,1.1420000000000001,1.2409999999999999,202.6,HARPS_ech_obs_thosimult,2005-11-16T06:16:45.358,0.47,-17.6297894218,-9999999.0,0.718,4.7593997720165975,-9999999.0,0.0003612107314255655,0.0005082843251304234,0.0006598954056858182,0.38178613999600003,1.073,0.49230067249,0.49230067249,0.87,0.864778386753,0.0,GJ136
27,-9999999.0,7.88390292833,7.879344912530001,-0.0110055260966,2453930.9413799997,2453930.94073,41.0543242703,-0.8283329379466676,"STAR,WAVE,G2.5V",0.0,-9999999.0,119.9991,4.871956269019999,7.062473578760001,0.4314824706515024,G2,-0.834575812054,-0.19899999999999998,-0.027000000000000003,0.3355687885965977,0.4660696562625433,HARPS_ech_obs_all,077.C-0530(A),UNKNOWN,12.5,12550.8438826,12549.399,-16.5081873816,-16.5081873816,-6.494,1.6440000000000001,189.5,HARPS_ech_obs_thosimult,2006-07-14T10:32:26.519,0.43,-11.5888011835,-9999999.0,0.45799999999999996,4.904826852559324,-9999999.0,0.00039491134605769,0.0005427167572046567,0.0007061382231636202,0.399556818786,0.732,0.514811501839,0.514811501839,0.6890000000000001,1.11883858514,0.0,GJ136
28,-9999999.0,7.881945562060001,7.87739453885,-0.013569338620299999,2453930.94316,2453930.94251,41.0607827221,9.757549084782344,"STAR,WAVE,G2.5V",0.0,-9999999.0,120.001,4.80751826982,7.066498767969999,0.43117296846809533,G2,9.75623398207,-0.20199999999999999,-0.027000000000000003,0.3363320574601332,0.4650353479974863,HARPS_ech_obs_all,077.C-0530(A),UNKNOWN,12.5,12552.089509200001,12550.648000000001,-15.6504303476,-15.6504303476,-5.636,1.6440000000000001,173.9,HARPS_ech_obs_thosimult,2006-07-14T10:35:00.697,0.43,-10.236750086,-9999999.0,0.45799999999999996,4.8400703903711415,-9999999.0,0.00042923910763973836,0.0005927485356570598,0.0007689153364826206,0.435350873599,0.752,0.560911679288,0.560911679288,0.7240000000000001,1.08859532019,0.0,GJ136
29,-9999999.0,7.8799897647899995,7.87543355275,-0.007965923480979999,2453930.9449400003,2453930.94428,41.057413661300004,10.479905090794176,"STAR,WAVE,G2.5V",0.0,-9999999.0,120.0017,5.16751370818,7.062348041910001,0.4302129782315012,G2,10.4559573744,-0.20600000000000002,-0.027999999999999997,0.3353542594089845,0.4661830461321294,HARPS_ech_obs_all,077.C-0530(A),UNKNOWN,12.5,12549.997682899999,12548.56,-17.8944078671,-17.8944078671,-7.879,1.6440000000000001,176.5,HARPS_ech_obs_thosimult,2006-07-14T10:37:35.054,0.42,-12.7797365952,-9999999.0,0.45799999999999996,5.212487862396396,-9999999.0,0.0004220090796464121,0.0005830461659449916,0.0007586084359470554,0.429907233362,0.7490000000000001,0.555205969394,0.555205969394,0.72,1.21749911431,0.0,GJ136
